name,brand,category,price_category,current_price,original_price,savings_amount,discount_percent,value_score,rating,num_reviews,has_reviews,num_straps,bluetooth_calling,amoled_display,water_resistant,express_delivery,scraped_date,dataset_version
Smart Watch 8 Classic,Generic,Standard Smartwatch,Mid-Range,4999,8999,4000,44.0,35.2,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Zero Navigator Smartwatch,Zero,Standard Smartwatch,Premium,14999,32999,18000,55.0,66.0,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
T1000 Ultra 3 7+1 Smart Watch,Generic,Standard Smartwatch,Budget,1449,2499,1050,42.0,30.41,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
MK-T200 7in1 Smart Watch 2025 Edition,Generic,Standard Smartwatch,Budget,1549,2500,951,38.0,23.31,0.0,0,0,7,0,0,0,1,2026-01-16,1.0
MK-M200 7in1 Smart Watch 2025 Edition,Generic,Standard Smartwatch,Budget,1549,2500,951,38.0,23.31,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
ZT-325 (7+1+1) Smart Watch,Generic,Standard Smartwatch,Mid-Range,3049,5500,2451,45.0,36.16,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
Crown L-29 Smart Watch,Crown,Standard Smartwatch,Budget,1199,1800,601,33.0,16.53,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Crown Q700 Ladies Smart Watch with Jewellery Set,Crown,Ladies Smartwatch,Mid-Range,2299,4000,1701,43.0,31.8,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Login L-115 Glory Smart Watch,Login,Standard Smartwatch,Premium,13999,16999,3000,18.0,3.86,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Watch X Double Straps Smart Watch,Generic,Standard Smartwatch,Budget,1549,2500,951,38.0,23.31,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
I10 Pro Smart Watch,Generic,Standard Smartwatch,Budget,1349,2100,751,36.0,20.03,0.0,0,0,1,0,0,0,1,2026-01-16,1.0
BW11 2 in 1 Combination Smart Watch with Buds,Generic,Smartwatch + Accessories,Premium,10199,19999,9800,49.0,47.08,0.0,0,0,2,0,0,0,0,2026-01-16,1.0
Ultra 3 7+1 Deluxe Edition Smart Watch,Generic,Standard Smartwatch,Budget,1449,2499,1050,42.0,30.41,0.0,0,0,7,0,0,0,0,2026-01-16,1.0
ZW10 Ladies Smart Watch,Generic,Ladies Smartwatch,Mid-Range,3199,5999,2800,47.0,41.12,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
Crown C6 Ultra 2 Smart Watch With Headphone,Crown,Smartwatch + Accessories,Mid-Range,2199,3800,1601,42.0,30.56,0.0,0,0,1,0,0,0,0,2026-01-16,1.0
