date,user_id,event,channel,value,converted
2025-01-01,user_001,signup,organic,0,no
2025-01-01,user_002,view,paid_search,0,yes
2025-01-02,user_003,activate,organic,1,no
2025-01-02,user_004,purchase,paid_search,99.99,yes
2025-01-03,user_005,signup,social,0,no
2025-01-03,user_006,view,direct,0,yes
2025-01-04,user_007,activate,organic,1,no
2025-01-04,user_008,purchase,social,149.99,yes
2025-01-05,user_009,signup,paid_search,0,no
2025-01-05,user_010,view,organic,0,yes
2025-01-06,user_011,activate,direct,1,no
2025-01-06,user_012,purchase,paid_search,199.99,yes
2025-01-07,user_013,signup,social,0,no
2025-01-07,user_014,view,organic,0,yes
2025-01-08,user_015,activate,paid_search,1,no
2025-01-08,user_016,purchase,direct,79.99,yes
2025-01-09,user_017,signup,organic,0,no
2025-01-09,user_018,view,social,0,yes
2025-01-10,user_019,activate,paid_search,1,no
2025-01-10,user_020,purchase,organic,249.99,yes
