date,channel,signups,revenue,retention_rate,is_premium
2025-01-01,organic,120,12000,45.2,false
2025-01-02,paid_search,450,45000,67.8,true
2025-01-03,social,220,22000,52.1,false
2025-01-04,direct,180,18000,48.5,false
2025-01-05,organic,150,15000,55.3,true
2025-01-06,paid_search,380,38000,72.1,true
2025-01-07,social,290,29000,58.9,false
2025-01-08,direct,210,21000,51.2,true
2025-01-09,organic,175,17500,49.8,false
2025-01-10,paid_search,420,42000,68.5,true
2025-01-11,social,250,25000,54.7,false
2025-01-12,direct,195,19500,47.3,false
2025-01-13,organic,160,16000,56.2,true
2025-01-14,paid_search,410,41000,70.4,true
2025-01-15,social,270,27000,59.8,false
